,Dados do País,Quantidade de Casos,Casos do Dia,Quantidade de Mortes,Mortes no Dia,Casos Revertidos,Casos Ativos,Casos Críticos
,Costa Rica,113,26,2,1,2,109,2
,Latvia,111,25,0,0,1,110,0
,Uruguay,110,31,0,0,0,110,0
,Algeria,94,4,11,2,32,51,0
,Vietnam,91,6,0,0,17,74,0
,Bosnia and Herzegovina,89,25,0,0,2,87,1
,Morocco,86,23,3,1,2,81,1
,Hungary,85,12,4,3,7,74,6
,Jordan,85,16,0,0,1,84,0
,Faeroe Islands,80,8,0,0,3,77,0
,Brunei,78,5,0,0,1,77,2
,North Macedonia,76,26,0,0,1,75,1
,Andorra,75,1,0,0,1,74,2
,Cyprus,75,8,0,0,0,75,1
,Sri Lanka,73,13,0,0,3,70,0
,Dominican Republic,72,38,2,0,0,70,0
,Albania,70,6,2,0,2,66,2
,Belarus,69,18,0,0,15,54,0
,Moldova,66,17,1,0,1,64,3
,Venezuela,65,23,0,0,1,64,0
,Malta,64,11,0,0,2,62,1
,Lithuania,63,15,0,0,1,62,1
,Tunisia,54,15,1,0,1,52,7
,New Zealand,53,25,0,0,0,53,0
,Kazakhstan,52,8,0,0,0,52,0
,Cambodia,51,14,0,0,1,50,0
,Oman,48,0,0,0,13,35,0
,Palestine,48,1,0,0,17,31,0
,Senegal,47,11,0,0,5,42,0
,Guadeloupe,45,12,0,0,0,45,0
,Azerbaijan,44,0,1,0,7,36,0
,Georgia,44,4,0,0,1,43,1
,Ukraine,41,15,3,0,1,37,0
,Burkina Faso,40,7,1,0,4,35,0
,Uzbekistan,33,10,0,0,0,33,0
,Martinique,32,9,1,0,0,31,7
,Liechtenstein,28,0,0,0,0,28,0
,Réunion,28,0,0,0,0,28,0
,Afghanistan,24,2,0,0,1,23,0
,Honduras,24,12,0,0,0,24,0
,Cuba,21,10,1,0,0,20,0
,Bangladesh,20,2,1,0,3,16,1
,Cameroon,20,7,0,0,2,18,0
,Jamaica,19,4,1,0,2,16,0
,DRC,18,4,0,0,0,18,0
,Paraguay,18,5,0,0,0,18,1
,Macao,17,0,0,0,10,7,0
,Rwanda,17,6,0,0,0,17,0
,Bolivia,16,1,0,0,0,16,0
,Ghana,16,5,0,0,0,16,0
,Guyana,15,10,1,0,0,14,0
,French Guiana,15,0,0,0,0,15,0
,Guam,14,2,0,0,0,14,0
,Montenegro,14,1,0,0,0,14,0
,Puerto Rico,14,8,0,0,0,14,0
,Maldives,13,0,0,0,2,11,0
,Guatemala,12,3,1,0,0,11,0
,Nigeria,12,0,0,0,1,11,0
,Channel Islands,12,1,0,0,0,12,0
,Mauritius,12,5,0,0,0,12,0
,Monaco,11,1,0,0,0,11,0
,French Polynesia,11,5,0,0,0,11,0
,Gibraltar,10,0,0,0,2,8,0
,Ivory Coast,9,0,0,0,1,8,0
,Ethiopia,9,2,0,0,0,9,0
,Togo,9,8,0,0,0,9,0
,Trinidad and Tobago,9,0,0,0,0,9,0
,Kenya,7,0,0,0,0,7,0
,Seychelles,7,1,0,0,0,7,0
,Barbados,6,1,0,0,0,6,0
,Equatorial Guinea,6,0,0,0,0,6,0
,Kyrgyzstan,6,3,0,0,0,6,0
,Mayotte,6,2,0,0,0,6,0
,Mongolia,6,0,0,0,0,6,0
,Tanzania,6,0,0,0,0,6,0
,Aruba,5,0,0,0,1,4,0
,Gabon,4,1,1,1,0,3,0
,Bahamas,4,1,0,0,0,4,0
,Saint Martin,4,1,0,0,0,4,0
,Suriname,4,3,0,0,0,4,0
,Cayman Islands,3,0,1,0,0,2,0
,Curaçao,3,0,1,0,0,2,0
,CAR,3,2,0,0,0,3,0
,Congo,3,0,0,0,0,3,0
,Madagascar,3,3,0,0,0,3,0
,Namibia,3,0,0,0,0,3,0
,St. Barth,3,0,0,0,0,3,0
,U.S. Virgin Islands,3,0,0,0,0,3,0
,Sudan,2,0,1,0,0,1,0
,Benin,2,0,0,0,0,2,0
,Bermuda,2,0,0,0,0,2,0
,Bhutan,2,1,0,0,0,2,0
,Greenland,2,0,0,0,0,2,0
,Guinea,2,1,0,0,0,2,0
,Haiti,2,2,0,0,0,2,0
,Isle of Man,2,1,0,0,0,2,0
,Liberia,2,0,0,0,0,2,0
,Mauritania,2,0,0,0,0,2,0
,New Caledonia,2,0,0,0,0,2,0
,Nicaragua,2,1,0,0,0,2,0
,Saint Lucia,2,0,0,0,0,2,0
,Zambia,2,0,0,0,0,2,0
,Nepal,1,0,0,0,1,0,0
,Angola,1,1,0,0,0,1,0
,Antigua and Barbuda,1,0,0,0,0,1,0
,Cabo Verde,1,1,0,0,0,1,0
,Chad,1,0,0,0,0,1,0
,Djibouti,1,0,0,0,0,1,0
,El Salvador,1,0,0,0,0,1,0
,Fiji,1,0,0,0,0,1,0
,Gambia,1,0,0,0,0,1,0
,Vatican City,1,0,0,0,0,1,0
,Montserrat,1,0,0,0,0,1,0
,Niger,1,0,0,0,0,1,0
,Papua New Guinea,1,1,0,0,0,1,0
,St. Vincent Grenadines,1,0,0,0,0,1,0
,Sint Maarten,1,0,0,0,0,1,0
,Somalia,1,0,0,0,0,1,0
,Eswatini,1,0,0,0,0,1,0
,Zimbabwe,1,1,0,0,0,1,0
